"time","stability","rank","std","r","groups","tissue","name"
"0",0.129107547354009,6.66666666666667,0.00847910310188395,6,"b","Foregut","Stability"
"12",0.15654186380207,34.5,0.0147464639919845,6,"a","Foregut","Stability"
"24",0.150271465171989,28.3333333333333,0.0133816124646573,6,"ab","Foregut","Stability"
"3",0.144003286445976,20,0.0196832747759608,6,"ab","Foregut","Stability"
"48",0.160334874668063,39.5,0.0111180474648741,6,"a","Foregut","Stability"
"6",0.153345709406545,31,0.0135443010997954,6,"a","Foregut","Stability"
"72",0.144717224734628,22.1666666666667,0.0120102080872692,6,"ab","Foregut","Stability"
"9",0.151172919860294,28,0.0106387000108547,6,"ab","Foregut","Stability"
"CK",0.168614135576239,37.3333333333333,0.0310634483920715,6,"a","Foregut","Stability"
"0",0.146778498938757,21.1666666666667,0.0140197727145022,6,"a","Midgut","Stability"
"12",0.146469319801565,18.6666666666667,0.00864646046596331,6,"a","Midgut","Stability"
"24",0.159853824106586,29,0.0238720633693571,6,"a","Midgut","Stability"
"3",0.152039181749892,24,0.0163846764200251,6,"a","Midgut","Stability"
"48",0.168067771977636,39.5,0.00700967741636792,6,"a","Midgut","Stability"
"6",0.160728286792766,22.3333333333333,0.0429416901519535,6,"a","Midgut","Stability"
"72",0.155906832106855,27.6666666666667,0.0173462499706351,6,"a","Midgut","Stability"
"9",0.151708424849893,21.6666666666667,0.0202301250751796,6,"a","Midgut","Stability"
"CK",0.203705203000812,43.5,0.0462253120691945,6,"a","Midgut","Stability"
"0",0.149402562680569,15.1666666666667,0.0377815542022703,6,"a","Hindgut","Stability"
"12",0.201603973734495,35.6666666666667,0.0222885718715864,6,"a","Hindgut","Stability"
"24",0.20490122562552,35.3333333333333,0.0491230332184644,6,"a","Hindgut","Stability"
"3",0.187567191504387,30.1666666666667,0.0332372561535803,6,"a","Hindgut","Stability"
"48",0.202807551590064,32.5,0.046159042884067,6,"a","Hindgut","Stability"
"6",0.163057022534786,19,0.0262726382357604,6,"a","Hindgut","Stability"
"72",0.205849708161822,38.6666666666667,0.0222266519550904,6,"a","Hindgut","Stability"
"9",0.172843757200722,24.1666666666667,0.0275341933895369,6,"a","Hindgut","Stability"
"CK",0.155737115949016,16.8333333333333,0.0538377109045175,6,"a","Hindgut","Stability"
"0",0.154932115949352,7.83333333333333,0.0131013304226208,6,"c","Mixed gut","Stability"
"12",0.193675540857883,33.3333333333333,0.0135187825496936,6,"ab","Mixed gut","Stability"
"24",0.210197709417535,39.8333333333333,0.0277256775306542,6,"a","Mixed gut","Stability"
"3",0.170766261357113,17.3333333333333,0.0149312629863258,6,"bc","Mixed gut","Stability"
"48",0.206033807655465,36.3333333333333,0.0360149142239896,6,"a","Mixed gut","Stability"
"6",0.173170631206793,17.5,0.0315097754968492,6,"bc","Mixed gut","Stability"
"72",0.193483648494797,32,0.0165396599151406,6,"ab","Mixed gut","Stability"
"9",0.181293476406652,23.5,0.0225909278996755,6,"abc","Mixed gut","Stability"
"CK",0.213264109724025,39.8333333333333,0.0317878607950124,6,"a","Mixed gut","Stability"
"0",0.146955691855246,7.75,0.0174273797477227,8,"d","Whole gut","Stability"
"12",0.220204257144991,38.75,0.00677749240511436,8,"b","Whole gut","Stability"
"24",0.230681167843752,45.875,0.0108559097993204,8,"a","Whole gut","Stability"
"3",0.182149701478582,25.375,0.0137771720847862,8,"c","Whole gut","Stability"
"6",0.173700627561394,21.5,0.010396645875878,8,"c","Whole gut","Stability"
"9",0.155079735437767,11.375,0.00915441674063814,8,"d","Whole gut","Stability"
"CK",0.23519446075411,48.875,0.0108104721525785,8,"a","Whole gut","Stability"
