"","CK_hc","0h_hc","3h_hc","6h_hc","9h_hc","12h_hc","24h_hc","48h_hc","72h_hc"
"CK_hc",0,0.212191358024691,0.212191358024691,0.212191358024691,0.212191358024691,0.212191358024691,0.212191358024691,0.212191358024691,0.212191358024691
"0h_hc",0.0950301627384961,0,0.0950301627384961,0.0950301627384961,0.0950301627384961,0.0950301627384961,0.0950301627384961,0.0950301627384961,0.0950301627384961
"3h_hc",0.216918235384144,0.216918235384144,0,0.216918235384144,0.216918235384144,0.216918235384144,0.216918235384144,0.216918235384144,0.216918235384144
"6h_hc",0.197559560248954,0.197559560248954,0.197559560248954,0,0.197559560248954,0.197559560248954,0.197559560248954,0.197559560248954,0.197559560248954
"9h_hc",0.325244235282114,0.325244235282114,0.325244235282114,0.325244235282114,0,0.325244235282114,0.325244235282114,0.325244235282114,0.325244235282114
"12h_hc",0.439111761554943,0.439111761554943,0.439111761554943,0.439111761554943,0.439111761554943,0,0.439111761554943,0.439111761554943,0.439111761554943
"24h_hc",0.640398620038772,0.640398620038772,0.640398620038772,0.640398620038772,0.640398620038772,0.640398620038772,0,0.640398620038772,0.640398620038772
"48h_hc",0.457400711662075,0.457400711662075,0.457400711662075,0.457400711662075,0.457400711662075,0.457400711662075,0.457400711662075,0,0.457400711662075
"72h_hc",0.271772331904908,0.271772331904908,0.271772331904908,0.271772331904908,0.271772331904908,0.271772331904908,0.271772331904908,0.271772331904908,0
