"","CK_mc","0h_mc","3h_mc","6h_mc","9h_mc","12h_mc","24h_mc","48h_mc","72h_mc"
"CK_mc",0,0.326986723293541,0.326986723293541,0.326986723293541,0.326986723293541,0.326986723293541,0.326986723293541,0.326986723293541,0.326986723293541
"0h_mc",0.0948930593816957,0,0.0948930593816957,0.0948930593816957,0.0948930593816957,0.0948930593816957,0.0948930593816957,0.0948930593816957,0.0948930593816957
"3h_mc",0.0920617156412611,0.0920617156412611,0,0.0920617156412611,0.0920617156412611,0.0920617156412611,0.0920617156412611,0.0920617156412611,0.0920617156412611
"6h_mc",0.117856277420671,0.117856277420671,0.117856277420671,0,0.117856277420671,0.117856277420671,0.117856277420671,0.117856277420671,0.117856277420671
"9h_mc",0.328574571472299,0.328574571472299,0.328574571472299,0.328574571472299,0,0.328574571472299,0.328574571472299,0.328574571472299,0.328574571472299
"12h_mc",0.118006134578104,0.118006134578104,0.118006134578104,0.118006134578104,0.118006134578104,0,0.118006134578104,0.118006134578104,0.118006134578104
"24h_mc",0.489942033976125,0.489942033976125,0.489942033976125,0.489942033976125,0.489942033976125,0.489942033976125,0,0.489942033976125,0.489942033976125
"48h_mc",0.26958346087134,0.26958346087134,0.26958346087134,0.26958346087134,0.26958346087134,0.26958346087134,0.26958346087134,0,0.26958346087134
"72h_mc",0.310288809815325,0.310288809815325,0.310288809815325,0.310288809815325,0.310288809815325,0.310288809815325,0.310288809815325,0.310288809815325,0
